Abandon,Leave permanently
Keystone,The central part of a policy or system
Keynote,A central theme
Kickback,Percentage given to a person who has enabled one to make money
Killjoy,A person who spoils the enjoyment of others
Kitsch,Pretentious
Knell,The sound of a bell rung slowly
Kudos,Praise and honor
Kowtow,Be excessively meek and obedient
Kip,sleep
Kitty,A fund of money for use by a number of people
Kith-and-kin,One's family and relations
Laborious,Requiring or showing much effort
Labyrinth,A complicated network of passages
Lacerate,Tear the flesh or skin, It can be used to refer to someone's feeling being hurt or wounded
Lackadaisical,Lacking enthusiasm and thoroughness
Lackluster,Lacking energy or inspiration, dull (not shining)
Laconic,Using few words
Lacuna,A gap or a missing portion
Laden,Loaded
Lag,Fall behind, a period of time between two events
Lambast,Criticize harshly, censure severely or angrily
Lampoon,Publicly mock or ridicule
Languid,Lacking energy or vigor
Languish,Become weak or feeble, be forced to remain in an unpleasant place
Lapel,A flap folded back on each side of a coat
Lassitude,Weariness or lack of energy, state of being tired or listless; exhaustion; laziness; weariness
Lately,recently
Latent,Existing but not yet developed, apparent or active
Lateral,Of, at, to or from the side or sides
Lavish,Very rich, elaborate, luxurious, generous
Laudable,Deserving praise
Laurel,Honor or praise, To honor, especially with an award or a prize.
Lax,Not strict severe or careful
Legacy,Handed down by a predecessor
Leisure,Time spent not working, not busy-free, in an unhurried way
Legendary,Described in legends, famous
Legible,Clear enough to read
Legislate,Make laws
League,A class of quality or excellence
Lenient,Not strict, merciful
Leonine,Of or like a lion
Lest,conjunction   For fear that
Lethal,Able to cause death
Lethargy,Lack of energy or enthusiasm
Leverage,The power to influence
Leviathan,A very large or powerful thing, anything of immense size and power, as a huge,
Levity,Humorous treatment of a serious matter, lack of seriousness, lightness of body and spirit
Lexical,Of words
Liability,A person or thing likely to cause embarrassment or trouble, a debt, the state of being liable
Liaison,Communication and cooperation
Libel,The crime of publishing a false statement that harms a person's reputation
Liberalize,Make less strict
Limerick,A humorous five line poem
Linger,Be slow or reluctant to leave, spend a long time
Lingua franca,A common language used among speakers whose native languages are different
Linguist,A person skilled in foreign languages, a person who studies linguistics
Liquidate,Converts assets into cash
Livid,Very angry, appearing dark and inflamed
Loathe,Feel hatred and disgust for
Lucre,Money or profits
Luminary,An inspiring or influential person
Machinations,Plots and scheming
Macrocosm,The whole of a complex
Magnanimous,Generous or forgiving
Magnate,A wealthy and influential
Magnetism,The ability to attract and charm people
Magnitude,Great size or importance, size
Mammoth,Huge
Mandarin,A powerful official
Mandatory,Compulsory
Martinet,A person who enforces strict discipline
Malapropism,The mistaken use of a word in place of a similar sounding word-mostly due to the slip of the tongue
Malefactor,A wrongdoer
Malevolent,Wishing harm to others
Malfunction,Fail to function naturally
Maladroi,Clumsy, lacking skill, cleverness, or resourcefulness in handling situations
Malice,The desire to harm someone
Manifold,Many and various
Manipulate,Handle or control skillfully
Maneuver,A skilful movement, carefully planned scheme
Marginal,Of or in a margin, slight, unimportant
Masquerade,A pretence
Matrix,A grid like array of elements
Maudlin,Sentimental and full of self pity
Maverick,An unconventional and independent minded person
Maxim,A sentence expressing a general truth or rule of behavior
Mayhem,Violent disorder
Meager,Small in quantity
Measly,Informal-meager
Mediocre,Average or fairly low quality
Meek,Quiet, gentle and obedient
Mega,Informal-huge, excellent
Melee,Confused fight, a disorderly crowd
Mellow,Pleasantly smooth or soft in sound, color, or taste
Memento,An object kept as a reminder
Memoir,A written account of events
Menace,A dangerous or troublesome person or thing
Mendacious,Untruthful
Mentor,An experienced person acting as an advisor
Merchandise,Goods for sale
Mercurial,Tending to change mood suddenly
Merger,A merging of two organizations into one
Meritorious,Deserving reward and praise
Mesmerize,Completely capture the attention of
Metaphor,Figure of speech in which a word or phrase is used to represent or stand for something else (eg. food for thought)
Meticulous,Careful and precise
Mettle,Spirit and strength of character
Milieu,A persons social environment
Mundane,Dull or routine
Myriad,A very great number
Myth,An imaginary person or thing
Nab,Catch a wrong doer, take suddenly
Naive,Lacking experience or judgment
Narcissistic,Excessive interest in oneself and ones appearance
Narrative,An account of something, a story,
Nascent,ust coming into existence, emerging
Natter,Informal chatter
Naught,pronoun Nothing
Nebulous,Not clearly defined, vague
Negate,Stop or undo the effect of, deny the existence of
Neophyte,A novice, beginner, a new convert
Nepotism,Favoritism showed to relatives or friends (Eg. by giving them jobs)
Neutralize,Make ineffective
Niche,a situation or activity specially suited to a person's interests, abilities, or nature; Job or role to which one is suited
Nimble,Quick and agile
Nincompoop,A stupid silly person, a fool
Nocturnal,Done or active ate night
Nonchalant,Calm and relaxed
Nonconformist,A person who does not follow accepted ideas or behavior, not following established customs, beliefs, etc.
Nondescript,Lacking special or interesting features
Nonentity,An unimportant person or thing, a person or thing of little or no importance
Nonplussed,Surprised and confused
Norm,The usual or standard thing
Nostalgia,Longing for the happy times of the past
Noteworthy,Interesting or important
Nous,Informal-common sense
Novice,A person new to and lacking experience in a job or situation
Nuance,A slight difference in meaning or expression, shade, distinction, gradation
Nullify,Make legally invalid, cancel out the effect of
Nadir,The lowest point
Nemesis,A means of deserved and unavoidable downfall, nemesis is something that a person cannot conquer, achieve, etc.
Neologism,A new word, meaning, usage, or phrase
Nefarious,Wicked or criminal, Infamous by way of being extremely wicked.
Nescient,orant, lack of knowledge; ignorance, uneducated,
Neurotic,Excessively sensitive, anxious or obsessive
Nexus,A connection or a series of connection
Niggard,Not generous, A stingy, grasping person; a miser.
Nimbus,A halo, an aura of splendor about any person or thing
Nomenclature,A system of words used in a particular subject
Nurture,Care for and encourage the growth and development of, have a hope or belief for a long time
Nonpareil,Unequalled
Notorious,Famous for something bad
Nugatory,Worthless
Nouveau riche,People who have recently become rich and display their wealth in an obvious or tasteless way
Nought,The figure 0, nothing
Nitty-gritty,Informal-the most important details of the matter
Nitwit,Informal-a foolish person, a stupid or silly person
Nicety,Accuracy, a fine detail, refinement, delicacy of taste
Nether,Lower or under, lying, or thought of as lying, below the earth's surface the nether world
Negligible,So small or unimportant as to be not worth considering
Nettle,Annoy
Oaf,Stupid or clumsy man
Obdurate,Stubborn, hardhearted
Obeisance,A humble request, a bow or curtsy
Obfuscate,Make unclear or hard to understand
Obliterate,Destroy or cover completely, to blot out, erase
Oblivious,Unaware
Obloquy,Strong public criticism, disgrace
Obnoxious,Very unpleasant
Obscure,Not known about or well known, hard to understand or see, hide or make unclear
Obsequious,Excessively obedient or respectful
Obsess,Preoccupy to a disturbing extent
Obsolete,No longer produced or used, out of date
Obstinate,Stubbornly refusing to change one's mind, hard to deal with
Obstreperous,Noisy and unruly, especially in resisting control.
Obtrude,Become noticeable in an unwelcome way, to force oneself into a situation uninvited
Obtuse,Annoyingly slow to understand, blunt, not quick to alert in perception, thick headed
Obviate,Remove a need or difficulty
Occupational,Of a job or profession
Odious,Very unpleasant
Odium,Widespread hatred or disgust
Officious,Asserting authority in an overbearing way
Omen,An event seen as a sign of future good or bad luck
Ominous,Suggesting that something bad is going to happen
Omnipotent,Having unlimited or very great power
Omnipresent,Present everywhere
Omniscient,Knowing everything, literally so
Onerous,Involving much effort and difficulty
Onset,A beginning
Onslaught,A fierce attack
Onus,A responsibility
Oodles,Informal-a very great quantity
Operational,In or ready for use, of the functioning of an organization
Opine,State as one's opinion, to hold or express
Opportune,Occurring at an especially appropriate time
Oppressive,Harsh and unfair, causing distress or anxiety
Optimal,Best or most favorable
Optimism,Hopefulness and confidence about the future or success of something
Optimize,Make the best use of
Opulent,Ostentatiously luxurious
Oration,A formal speech
Oratory,ormal public speaking esp when inspiring
Ordeal,A prolonged painful or horrific experience
Outlandish,Strange or unfamiliar, very odd
Outsource,Arrange for work to be done outside the company
Outwit,Defeat by cunning or ingenuity
Ovation,A long enthusiastic round of applause
Overt,Done or shown openly
Overwhelm,Have a strong emotional effect on, overpower
Overwrought,Very worried or nervously excited
Oxymoron,A figure of speech in which apparently contradictory terms appear together
Pace,Rate of movement or change, walk steadily or to and fro, do something at a controlled and steady rate
Palindrome,A word or phrase that reads the same backwards as forwards
Pall,Becoming less appealing through familiarity, a dark cloud of smoke, dust etc
Palpable,Able to be touched or felt
Palpitate,Beat rapidly, shake, tremble
Paltry,(of an amount)very small, trivial, measly
Panacea,A solution or remedy for all difficulties or diseases
Panache,A confident stylish manner
Pandemonium,Uproar
Paradigm,A typical example or model
Parameter,A limit defining the scope of a process or activity, characteristic or distinguishing feature.
Paramount,More important than anything else
Paranoid,Unjustified distrust of others, a mental condition in which a person has delusions of persecution or grandeur
Pariah,An outcast
Parity,Equality
Parlance,A particular way of using nouns
Paroxysm,A sudden attack or outburst, a fit
Passe,Old fashioned, out of date
Paucity,Scarcity or lack of something
Pedantic,Excessively concerned with minor details or rules
Peevish,Irritable, fretful
Penchant,A strong liking
Penitent,Feeling regret for having done wrong
Perambulate,Walk or travel from place to place
Perdiem,Daily
Perfidy,Betrayal of trust, treachery, deceitful, disloyal
Perfunctory,Done with minimum of effort or thought, as a routine, superficial
Permeate,Spread throughout, diffuse
Permutation,Each of several possible ways of ordering or arranging a number of things
Pertinent,Relevant, connected with the matter at hand
Perturb,Make anxious, cause to be alarmed, agitated or upset
Peruse,To Read carefully
Peter,Peter out-come to an end gradually
Petrify,Paralyze with fear
Petulant,Childishly sulky or bad tempered
Piecemeal,Done in a gradual and inconsistent way, piece by piece
Pigheaded,Stubborn
Pinnacle,The most successful point
Pique,Resentment arising from hurt pride, verb-stimulate someone's interest
Placate,Make less angry, soothe, calm down
Plaudit,Praise, applause
Plausible,Seemingly reasonable or probable or true
Plethora,An excessive amount, overabundance
Polyglot,Knowing , speaking or using several languages
Pragmatic,Dealing with things in a practical and sensible way, practical
Preamble,An introduction or opening statement
Precipitate,Cause to happen suddenly or too soon, cause to move suddenly and with force
Precursor,A forerunner
Pre-empt,Take action to prevent something happening beforehand.
Premonition,A feeling that something is about to happen
Preposterous,Completely ridiculous and outrageous
Prerequisite,Something that must exist or happen before something else can exist or happen
Prerogative,A right or privilege
Presumptuous,Behaving too confidently, taking for granted, assumption
Prevalent,Widespread
Prevaricate,Avoid giving a direct answer
Privy,Sharing in the knowledge of a secret
Probity,Honesty, integrity
Procrastinate,Postpone action
Promulgation,Make widely known, to make known officially
Propensity,A tendency, a natural inclination
Protagonist,The leading character in a novel, drama etc
Protege,A person who is guided and supported by a more experienced person
Protocol,The system of rules governing formal occasions, the accepted code of behavior in a situation
Provoke,Cause a strong reaction, deliberately annoy or anger, stir up to do something
Pseudonym,A false name esp one used by an author, a fictitious name esp one assumed by the author, pen name
Punctilious,Showing great attention to detail or correct behavior
Punitive,Intended as punishment, inflicting or concerned with punishment
Putative,Reputed, supposed, generally thought of as such
Pyrrhic,Won at too great a cost to have been worthwhile
Quadrant,Quarter of a circle or of its circumference
Quail,Feel or show fear, to recoil in fear
Quake,Shake or tremble
Qualm,Feeling of doubt about one's actions, uneasiness
Quandary,A state of uncertainty
Quarantine,A period of isolation for people or animals that have been exposed to an infectious disease
Quash,Reject as invalid, put an end to
Quaver,To shake or tremble (voice)
Queasy,Feeling sick, squeamish, easily nauseated
Quell,Suppress
Quench,Satisfy thirst, put out a fire
Querulous,Complaining petulantly
Query,A question esp one expressing doubt
Quest,A long search
Quibble,A minor objection, a petty evasion
Quid-pro-pro,A favor given in return for another, tit for tat, An equal exchange or substitution.
Quiescent,Inactive, quiet, still
Quietude,Calmness and quiet, a state of being quite
Quip,A witty or sarcastic remark
Quirk,A peculiar habit in a person's behavior, a strange thing happening by chance, sudden turn or twist
Quisling,A traitor
Quit,Leave, resign from a job, informal-cease
Quits,On equal terms because a debt or score has been settled
Quiver,Shake or vibrate with a slight rapid motion, a quivering movement or sound
Quixotic,Idealistic and impractical, extravagantly chivalrous or romantically idealistic
Quizzical,Showing mild or amazed puzzlement
Quondam,Former
Quorum,A minimum number of people that must be present at a meeting to make it valid
Quotidian,Daily, something that belongs to or occurs every day
QuotientA,result obtained by dividing one quantity by another
Rabble,Disorderly crowd, a mob
Rabid,Fanatical, violent, intense
Racket,A loud unpleasant noise, a noisy confusion
Raconteur,A person who tells stories in a interesting way
Racy,Lively and exciting
Radiant,Shining or glowing brightly, showing joy or health
Raffish,Slightly disreputable
Rakish,Dashing, but slightly disreputable in appearance
Ramble,talk in a confused way and at length
Ramification,Complex results of an action or event
Ramify,Branch out,To have complicating consequences or outgrowths
Rampage,Rush around in a wild violent way
Rampant,Flourishing or spreading uncontrollably, widespread, raging
Ramshackle,In a very bad condition
Rancour,Bitter feeling or resentment
Random,Done or happening without order, purpose or planning
Rankle,Cause continuing resentment
Rant,Speak in a loud forceful way
Rapport,A close and harmonious relationship, sympathetic relationship
Rapt,Fascinated or totally absorbed
Rarefied,Understood by only a limited group
Raring,Informal-very eager-raring to go
Ratify,Confirm an agreement formally etc.
Rationale,The reasons for a course of action or belief
Raucous,Sounding loud and harsh
Rave,Talk angrily or incoherently, speak or write about enthusiastically
Realm,A field of activity or interest
Rebuff,Reject in an abrupt or unkind way
Recalcitrant,Unwilling to cooperate, refusing to obey authority
Recant,Withdraw a former opinion or belief, to renounce formally (one's beliefs)
Recapitulate,Give a summary of, to repeat, to summarize
Repartee,Quick witty comments or replies
Reticent,Not revealing ones thoughts or feelings
Retrogression,Returning to an earlier and worse state, moving backwards especially into a worse condition
Retrospective,Looking back on or dealing with past events
Retort,Make a sharp or witty reply
Risible,Causing laughter, funny
Rider,An additional condition or statement
Rift,A crack, split or break; a serious break in friendly relations
Rigmarole,A long complicated procedure
Riposte,A quick reply
Risque,Slightly indecent
Robust,Sturdy healthy, forceful
Roughshod,Fail to consider the feelings or wishes of
Rudiment,The basic facts of a subject, an undeveloped part
Rue,Bitterly regret
Ruminate,Think deeply
Rummage,Search in a disorderly manner
Rumpus,A noisy disturbance
Ruse,A trick or deception
Sabotage,Deliberately destroy or damage
Sacrilege,Disrespect to something sacred or highly valued
Sacrosanct,Too important or valuable to be changed or questioned, very sacred, holy
Sagacious,Wise
Salutary,Providing a beneficial effect, beneficiary, wholesome
Salvo,A sudden series of aggressive statements or acts
Samaritan,A kind or helpful person
Sanctimonious,Making a show of being morally superior
Sanguine,Optimistic, cheerful
Sanitize,Make hygienic, make something unpleasant seem more acceptable
Sardonic,Mocking, scornful, bitterly sarcastic
Saturnine,Gloomy or brooding in appearance or manner, sluggish, grave
Saunter,Stroll
Scallywag,Informal-a mischievous person, a scamp; rascal
Scam,Informal-a dishonest scheme
Scanty,Too little in quantity or amount
Scapegoat,A person blamed for the wrongdoing of others
Scathing,Harshly critical
Skeptical,Not easily convinced; having doubts
Schism,A division into opposing groups through a deep difference in belief or opinion, a split because of difference of opinion
Scoff,Speak about scornfully, disbelievingly, informal-eat greedily
Scorn,Open contempt or disdain
Scot-free,Without punishment or injury
Scour,Clean by rubbing with something rough, search thoroughly
Scruple,A feeling of doubt as to whether an action in morally right
Scrutinize,Examine carefully
Scuffle,A short confused fight or struggle
Scurrilous,Insulting and abusive; slanderous
Seamless,Smooth and without obvious joins
Sedate,Calm and unhurried, sober, serious and unemotional
Seethe,Boil or churn, to be filled with great but unexpressed anger
Seldom,Not often
Self-righteous,Certain that one is correct or morally superior
Semantic,To do with meaning, semantics-the study of the meaning of words
Semblance,The way something looks or seems, outward appearance
Servile,Excessively willing to serve or please others
Sever,Cut off or break off
Shady,Informal-of doubtful honesty or legality
Sham,A thing that is not as good or genuine as it seems to be
Sheepish,Embarrassed or shy
Shilly-shally,Be indecisive, to be irresolute
Shindig,Informal-a large lively party
Shirk,Avoid work or duty
Subtle,able to make fine distinctions, using clever and indirect methods
Superficial,not thorough or deep
Surpass,Be greater or better than
Surreal,Strange and dreamlike
Surreptitious,Done secretly, acting in a stealthy way
Synergy,Cooperation of two or more things to produce a combined effect greater than the sum of their separate effects
Syntax,The arrangement of words and phrases to form sentences
Tab,A small projecting flap or strip, informal (keep tabs on)- monitor the activities of
Taboo,A ban or restriction made by social custom, any social restriction
Taciturn,Saying little, almost always silent, not liking to talk
Tacky,Informal-showing poor taste or quality
Tact,Sensitivity and skill in dealing with others
Tactile,perceived by the sense of touch
Talisman,An object believed to bring good luck
Tamper,Interfere with
Tandem,one behind another
Tangible,definite or real
Tantamount,effect
Tardy,dilatory
Tarnish,Make less respected
Tattle,Gossip
Taunt,A jeering or mocking remark
Tautology,The saying of the same thing over again in different words, needless repetition of an idea
Teeter,Move or sway unsteadily
Temperamental,Tending to change mood in an unreasonable way
Tempt,Entice someone to do something against their better judgment
Tenacious,perseverant
Tensile,able to be stretched
Tentative,Hesitant,not certain
Tenuous,Very slight, very thin, slender or fine as a fiber
Terra-firma,Dry land
Terse,Using few words
Testy,Irritable
Thaw,Make or become unfrozen, make or become friendlier
Therapeutic,Having a good effect on the body and mind, serving to cure or heal or to preserve health
Threshold,A level or point marking the start of something , the beginning point
Thrifty,Economy in the use of resources
Timorous,Timid, full of fear, afraid
Tirade,Along angry speech
Topical,Of or dealing with current affairs
Touche,Used to acknowledge a good point made at ones expense
Touchy,Quick to take offence
Traipse,Walk or move wearily
Transliterate,Write a letter or word using the letters of a different alphabet or language
Trying,Annoying
Trite,Unoriginal or overused
Truculent,Quick to argue or fight, fierce, cruel, savage
Truce,An agreement to stop fighting temporarily
Truism,A statement that is obviously true and says nothing new
Trundle,Move or roll slowly
Turbulent,Involving much conflict, disorder or confusion , wild or disorderly
Turmoil,A state of great disturbance or confusion
Tutelage,Protection or authority, tuition, guardianship, care
Tweak,Twist or pull sharply, informal-improve by making fine adjustments
Twit/Twerp,Informal-a silly person
Typify,Be typical of
Tyro,A beginner
Ubiquitous,Appearing or found everywhere, present everywhere at the same time
Ulterior,Other than what is obvious or admitted
Ultimatum,a final offer or demand as in negotiations.
Umbrage,resentment
Unanimous,Fully in agreement, agreed by everyone involved
Unassuming,Not pretentious or arrogant
Unbidden,Without having been invited
Uncanny,Strange or mysterious
Unconditional,Not subject to any condition
Uncouth,Lacking good manners
Unctuous,characterized by smooth pretense of earnestness
Underling,A subordinate
Underrate,Underestimate
Undertake,begin an activity
Undo,cause the ruin or downfall of
Unearth,Discover by searching
Unending,Seems to last for ever
Unflappable,never upset in a crisis.
Unhand,To remove one's hand from,
Unhinged,Mentally unbalanced
Unkempt,Having an untidy appearance
Unleash,Release,set loose
Unmitigated,Without qualification or exception
Unnerve,Cause to feel nervous or frightened
Unprepossessing,nondescript
Unprompted,Proceeding from natural feeling or impulse without external stimulus
Unremitting,Not stopping or slackening
Unruly,Not easy to control
Unscathed,Without suffering any injury
Unseat,Remove from a position of power
Unsettle,Make uneasy, disturb
Unsolicited,Not asked for, Not looked for or requested; unsought
Unsung,Not acknowledged or praised
Untoward,Unexpected and unwanted
Unwarranted,Not justified, being without warrant, authority, or guaranty;
Unwind,Relax after a period of tension or work
Unwitting,Not aware of the full facts, unintentional
Unwritten,Generally known about and accepted although not made official
Upbeat,Cheerful
Update,Bring up to date
Upgrade,Raise to a higher standard or rank
Uphold,Confirm or support
Up Market,Expensive and of high quality
Uppity,Informal-self important
Uproarious,Very noisy, very funny
Upshot,An outcome
Urbane,Confident, polite and refined
Urge,Encourage or earnestly ask to do something, strongly recommend
Usurp,Take a position of power illegally or by force
Utilitarian,Useful rather than decorative
Vacillate,Keep changing one's mind, waver
Vacuous,Showing lack of thought or intelligence
Vainglorious,is an antique word for self promotion, vain boastfulness in one's self. It means to do things for glory and self promotion.
Valediction,A farewell
Valiant,Brave, noble
Validate,Check the validity of, make or declare valid
Vanquish,Defeat thoroughly
Vantage,A position giving a good view
Variable,Liable to change, able to vary, differ
Variance,Disagreeing
Variant,A form differing from other forms of the same thing
Vaunted,Praised or boasted about, bragged about
Veer,Change direction
Vehement,Showing strong feelings, violent, impetuous
Veneer,An outward show of a quality, superficial appearance
Venerate,Respect greatly
Vengeance,Retaliation or revenge
Vent,express strong emotion freely
Venture,An undertaking involving risk dare to do or say something
Veracious,Truthful, honest
Verbatim,In exactly the same words, word for word
Verbiage,Excessively long speech or writing, an excess of words, wordiness
Verbose,Using more words than are needed, wordiness
Verge,A limit beyond which something will happen
Veritable,Rightly so called, true, real
Vernacular,The language spoken by the ordinary people of a country or region
Versatile,Able to do or be used for many different things
Versed,Experienced or skilled in
Versus,Against
Verve,Vigour, spirit and style
Veteran,A person with long experience, esp in the armed forces
Veto,A right to reject a decision or proposal made by others
Viable,Capable of working , surviving or living successfully
Vibe,Informal the atmosphere produced by a place or a mood passing between people
Vicarious,Experienced in ones imagination rather than directly
Vice versa,Reversing the order of the items just mentioned
Vicinity,The surrounding area
Vicious,Cruel or violent, savage and dangerous
Vie,Compete eagerly with others
Vigilant,Keeping careful watch for danger or problems.
Vindictive,Having a strong or excessive desire for revenge
Virulent,Extremely harmful, bitterly hostile
Vivid,Producing powerful feelings or clear images in the mind, very deep bright
Vociferous,Vehement or loud
Volte-face,An abrupt and complete reversal of attitude or policy
Voluble,Speaking fluently and at length
Voluminous,Of clothing-loose and full
Voracious,Eagerly consuming something
Vouch,State or confirm the truth, accuracy or honesty of
Vulnerable,Exposed to being attacked or harmed
Wacky,Informal-Odd but funny
Waddle,Walk with short steps and a swaying motion
Wag,Move rapidly to and fro, informal-a person fond of making jokes
Waive,Refrain from insisting on a right or claim
Wallop,Informal-hit hard
Wallow,Indulge in
Wally,Informal-a silly person
Waltz,Move or act casually
Wan,Pale and appearing ill
Wane,Become weaker- on the wane
Wangle,Informal-obtain by trickery or persuasion
Wanting,Lacking, absent
Ward,Keep at a distance or from doing harm
Warp,Make abnormal or strange
Warranty,A written guarantee promising to repair or replace a purchased article
Wary,Cautious
Waspish,sharply irritable
Waver,Flicker, begin to weaken; falter, be indecisive
Waylay,Intercept someone in order to attack or question
Wayward,Self willed and unpredictable
Weakling,Weak person or animal
Wean,Cause to give up a habit etc gradually
Wearisome,Causing weariness
Weary,Tired, tiring
Wedge,Force into a narrow space
Weepy,Informal-Tearful, sentimental
Weighty,Heavy,serious and important influential
Weird,Strange, bizarre
Wend,Go slowly or by an indirect route
Wet blanket,A person who spoils others enjoyment by their lack of enthusiasm
Whack,Informal-strike with a sharp blow, whacked-exhausted
Whet,Stimulate someone's interest or appetite
Wheedle,Coax or cajole
Whence,Formal-from which or from where, from the place
Whiff,A smell smelt only briefly or faintly
Whilst,while
Whim,A sudden desire or change of mind
Whimsical,Quaint or fanciful
Whinge,Informal- complain persistently
Whizz-kid,Informal-a very successful
Wholly,Entirely
Whoop,A loud cry of joy or excitement
Whopper,Informal-something very large, a blatant lie
Wince,Grimace or flinch as a result of pain or distress
Witticism,A witty remark
Wobble,Move unsteadily from side to side, (of the voice)-tremble
Wonky,Informal-crooked unsteady or faulty
Wrangle,A long dispute
Writhe,Twist or squirm in pain or embarrassment
Wry,Using or expressing dry mocking humor, (of the face) twisted in disgust or disappointment
Xenophobia,Dislike or fear of people from other countries
Yank,Informal- an American
Yank,Informal-pull sharply
Yap,Bark shrilly
Yarn,Informal-a story
Yearn,Feel great longing
Yell,A loud sharp cry or call
Yelp,A short sharp cry
Yen,Informal- a longing
Yes-man,Informal-a person who always agrees with his superiors
Yield,Give way to demands or pressure, give up possession of
Yob,Informal-rude and aggressive young man
Yokel,An unsophisticated country person
Yonder,Over there
Yore,Noun  Long ago
Yowl,A loud wailing cry
Yuck,Exclamation   Informal- used to express disgust
Yummy,Informal-delicious
Yuppie,Informal-a young middle class professional person
Zany,Amusingly unconventional
Zap,Informal-destroy, move rapidly
Zeal,enthusiasm
Zenith,The highest point
Zero-in-on,Take aim at, focus attention on
Zest,Great enthusiasm and energy
Zigzag,Line or course having sharp alternate right and left turn
Zilch,Informal-nothing
Zing,Informal-energy or enthusiasm
Zombie,A completely unresponsive person
Zoom,Move very quickly
Adventure,Exciting Experience
